,aid_from,aid_to,step_from,step_to,function,craftdroid_evaluate
175,a14,a13,7,6,b12,tp
176,a14,a15,0,0,b12,tp
177,a14,a15,1,1,b12,tp
178,a14,a15,2,2,b12,tp
179,a14,a15,3,3,b12,tp
180,a14,a15,4,4,b12,tp
181,a14,a15,5,5,b12,tp
182,a14,a15,6,6,b12,tp
183,a14,a15,7,7,b12,tp
184,a15,a11,0,-1,b12,fp
185,a15,a11,1,0,b12,tp
186,a15,a11,2,1,b12,tp
187,a15,a11,3,2,b12,tp
188,a15,a11,4,3,b12,tp
189,a15,a11,5,4,b12,tp
190,a15,a11,6,5,b12,tp
191,a15,a11,7,6,b12,tp
192,a15,a12,0,-1,b12,fp
193,a15,a12,1,0,b12,tp
194,a15,a12,2,1,b12,tp
195,a15,a12,3,2,b12,tp
196,a15,a12,4,3,b12,tp
197,a15,a12,5,4,b12,tp
198,a15,a12,6,5,b12,tp
199,a15,a12,7,6,b12,tp
200,a15,a13,0,-1,b12,fp
201,a15,a13,1,0,b12,fp
202,a15,a13,2,1,b12,fp
203,a15,a13,3,2,b12,tp
204,a15,a13,4,3,b12,tp
205,a15,a13,5,4,b12,tp
206,a15,a13,6,5,b12,tp
207,a15,a13,7,6,b12,tp
208,a15,a14,0,0,b12,tp
209,a15,a14,1,1,b12,tp
210,a15,a14,2,2,b12,tp
211,a15,a14,3,3,b12,tp
212,a15,a14,4,4,b12,tp
213,a15,a14,5,5,b12,tp
214,a15,a14,6,6,b12,tp
215,a15,a14,7,7,b12,tp
216,a21,a22,0,0,b21,tp
217,a21,a22,1,1,b21,tp
218,a21,a22,2,2,b21,tp
219,a21,a22,3,3,b21,tp
220,a21,a23,0,1,b21,tp
221,a21,a23,1,2,b21,tp
222,a21,a23,2,3,b21,tp
223,a21,a23,3,4,b21,tp
224,a21,a24,0,-1,b21,fp
225,a21,a24,1,0,b21,tp
226,a21,a24,2,1,b21,tp
227,a21,a24,3,2,b21,tp
228,a21,a25,0,0,b21,tp
229,a21,a25,1,1,b21,tp
230,a21,a25,2,2,b21,tp
231,a21,a25,3,3,b21,tp
232,a22,a21,0,0,b21,tp
233,a22,a21,1,1,b21,tp
234,a22,a21,2,2,b21,tp
235,a22,a21,3,3,b21,tp
236,a22,a23,0,1,b21,tp
237,a22,a23,1,2,b21,tp
238,a22,a23,2,3,b21,tp
239,a22,a23,3,4,b21,tp
240,a22,a24,0,-1,b21,fp
241,a22,a24,1,0,b21,tp
242,a22,a24,2,1,b21,tp
243,a22,a24,3,2,b21,tp
244,a22,a25,0,0,b21,tp
245,a22,a25,1,1,b21,tp
246,a22,a25,2,2,b21,tp
247,a22,a25,3,3,b21,tp
248,a23,a21,0,-1,b21,fp
249,a23,a21,1,0,b21,tp
250,a23,a21,2,1,b21,tp
251,a23,a21,3,2,b21,tp
252,a23,a21,4,3,b21,tp
253,a23,a22,0,-1,b21,fp
254,a23,a22,1,0,b21,tp
255,a23,a22,2,1,b21,tp
256,a23,a22,3,2,b21,tp
257,a23,a22,4,3,b21,tp
258,a23,a24,0,-1,b21,fp
259,a23,a24,1,-1,b21,fp
260,a23,a24,2,0,b21,tp
261,a23,a24,3,1,b21,tp
262,a23,a24,4,2,b21,tp
263,a23,a25,0,-1,b21,fp
264,a23,a25,1,0,b21,fp
265,a23,a25,2,1,b21,fp
266,a23,a25,3,2,b21,tp
267,a23,a25,4,3,b21,fp
268,a24,a21,0,1,b21,tp
269,a24,a21,1,2,b21,tp
270,a24,a21,2,3,b21,tp
271,a24,a22,0,1,b21,tp
272,a24,a22,1,2,b21,tp
273,a24,a22,2,3,b21,tp
274,a24,a23,0,2,b21,fp
275,a24,a23,1,3,b21,fp
276,a24,a23,2,4,b21,fp
277,a24,a25,0,1,b21,tp
278,a24,a25,1,2,b21,tp
279,a24,a25,2,3,b21,tp
280,a25,a21,0,0,b21,tp
281,a25,a21,1,1,b21,tp
282,a25,a21,2,2,b21,tp
283,a25,a21,3,3,b21,tp
284,a25,a22,0,0,b21,tp
285,a25,a22,1,1,b21,tp
286,a25,a22,2,2,b21,tp
287,a25,a22,3,3,b21,tp
288,a25,a23,0,1,b21,tp
289,a25,a23,1,2,b21,fp
290,a25,a23,2,3,b21,tp
291,a25,a23,3,4,b21,fp
292,a25,a24,0,-1,b21,fp
293,a25,a24,1,0,b21,tp
294,a25,a24,2,1,b21,tp
295,a25,a24,3,2,b21,tp
296,a21,a22,0,0,b22,tp
297,a21,a22,1,1,b22,tp
298,a21,a22,2,2,b22,tp
299,a21,a22,3,3,b22,tp
300,a21,a22,4,4,b22,tp
301,a21,a22,5,6,b22,fp
302,a21,a23,0,1,b22,tp
303,a21,a23,1,2,b22,tp
304,a21,a23,2,3,b22,tp
305,a21,a23,3,4,b22,tp
306,a21,a23,4,5,b22,tp
307,a21,a23,5,7,b22,tp
308,a21,a24,0,-1,b22,fp
309,a21,a24,1,0,b22,tp
310,a21,a24,2,1,b22,tp
311,a21,a24,3,2,b22,fp
312,a21,a24,4,3,b22,fp
313,a21,a24,5,6,b22,fn
314,a21,a25,0,0,b22,tp
315,a21,a25,1,1,b22,tp
316,a21,a25,2,2,b22,tp
317,a21,a25,3,3,b22,tp
318,a21,a25,4,4,b22,tp
319,a21,a25,5,5,b22,tp
320,a22,a21,0,0,b22,tp
321,a22,a21,1,1,b22,tp
322,a22,a21,2,2,b22,tp
323,a22,a21,3,3,b22,tp
324,a22,a21,4,4,b22,tp
325,a22,a21,5,-1,b22,fp
326,a22,a21,6,5,b22,tp
327,a22,a23,0,1,b22,tp
328,a22,a23,1,2,b22,tp
329,a22,a23,2,3,b22,tp
330,a22,a23,3,4,b22,tp
331,a22,a23,4,5,b22,tp
332,a22,a23,5,6,b22,tp
333,a22,a23,6,7,b22,tp
334,a22,a24,0,-1,b22,fp
335,a22,a24,1,0,b22,tp
336,a22,a24,2,1,b22,tp
337,a22,a24,3,2,b22,tp
338,a22,a24,4,3,b22,tp
339,a22,a24,5,4,b22,tp
340,a22,a24,6,6,b22,tp
341,a22,a25,0,0,b22,tp
342,a22,a25,1,1,b22,tp
343,a22,a25,2,2,b22,tp
344,a22,a25,3,3,b22,tp
345,a22,a25,4,4,b22,tp
346,a22,a25,5,-1,b22,fp
347,a22,a25,6,5,b22,tp
348,a23,a21,0,-1,b22,fp
349,a23,a21,1,0,b22,tp
350,a23,a21,2,1,b22,tp
351,a23,a21,3,2,b22,tp
352,a23,a21,4,3,b22,tp
353,a23,a21,5,4,b22,tp
354,a23,a21,6,-1,b22,fp
355,a23,a21,7,5,b22,tp
356,a23,a22,0,-1,b22,fp
357,a23,a22,1,0,b22,tp
358,a23,a22,2,1,b22,tp
359,a23,a22,3,2,b22,tp
360,a23,a22,4,3,b22,tp
361,a23,a22,5,4,b22,tp
362,a23,a22,6,5,b22,fp
363,a23,a22,7,6,b22,fn
364,a23,a24,0,-1,b22,fp
365,a23,a24,1,-1,b22,fp
366,a23,a24,2,0,b22,tp
367,a23,a24,3,1,b22,tp
368,a23,a24,4,2,b22,tp
369,a23,a24,5,3,b22,tp
370,a23,a24,6,4,b22,fp
371,a23,a24,7,6,b22,tp
372,a23,a25,0,-1,b22,fp
373,a23,a25,1,0,b22,fp
374,a23,a25,2,1,b22,fp
375,a23,a25,3,2,b22,tp
376,a23,a25,4,3,b22,tp
377,a23,a25,5,4,b22,tp
378,a23,a25,6,-1,b22,fp
379,a23,a25,7,5,b22,fp
380,a24,a21,0,1,b22,tp
381,a24,a21,1,2,b22,tp
382,a24,a21,2,3,b22,tp
383,a24,a21,3,4,b22,tp
384,a24,a21,4,-1,b22,fp
385,a24,a21,5,-1,b22,fp
386,a24,a21,6,5,b22,tp
387,a24,a22,0,1,b22,tp
388,a24,a22,1,2,b22,tp
389,a24,a22,2,3,b22,tp
390,a24,a22,3,4,b22,tp
391,a24,a22,4,5,b22,fp
392,a24,a22,5,-1,b22,fp
393,a24,a22,6,6,b22,fp
394,a24,a23,0,2,b22,fp
395,a24,a23,1,3,b22,fp
396,a24,a23,2,4,b22,fn
397,a24,a23,3,5,b22,fp
398,a24,a23,4,6,b22,fp
399,a24,a23,5,-1,b22,tn
400,a24,a23,6,7,b22,fn
401,a24,a25,0,1,b22,tp
402,a24,a25,1,2,b22,tp
403,a24,a25,2,3,b22,tp
404,a24,a25,3,4,b22,tp
405,a24,a25,4,-1,b22,fp
406,a24,a25,5,-1,b22,fp
407,a24,a25,6,5,b22,tp
408,a25,a21,0,0,b22,tp
409,a25,a21,1,1,b22,tp
410,a25,a21,2,2,b22,tp
411,a25,a21,3,3,b22,tp
412,a25,a21,4,4,b22,tp
413,a25,a21,5,5,b22,tp
414,a25,a22,0,0,b22,tp
415,a25,a22,1,1,b22,tp
416,a25,a22,2,2,b22,tp
417,a25,a22,3,3,b22,tp
418,a25,a22,4,4,b22,tp
419,a25,a22,5,6,b22,fp
420,a25,a23,0,1,b22,tp
421,a25,a23,1,2,b22,fp
422,a25,a23,2,3,b22,tp
423,a25,a23,3,4,b22,fn
424,a25,a23,4,5,b22,fp
425,a25,a23,5,7,b22,fn
426,a25,a24,0,-1,b22,fp
427,a25,a24,1,0,b22,tp
428,a25,a24,2,1,b22,tp
429,a25,a24,3,2,b22,tp
430,a25,a24,4,3,b22,tp
431,a25,a24,5,6,b22,fn
432,a31,a32,0,0,b31,tp
433,a31,a32,1,1,b31,tp
434,a31,a32,2,2,b31,tp
435,a31,a32,3,3,b31,tp
436,a31,a32,4,-1,b31,fp
437,a31,a32,5,4,b31,tp
438,a31,a32,6,5,b31,tp
439,a31,a32,7,6,b31,tp
440,a31,a32,8,7,b31,tp
441,a31,a34,0,-1,b31,fp
442,a31,a34,1,2,b31,fp
443,a31,a34,2,3,b31,tp
444,a31,a34,3,4,b31,tp
445,a31,a34,4,-1,b31,fp
446,a31,a34,5,5,b31,fp
447,a31,a34,6,7,b31,tp
448,a31,a34,7,8,b31,tp
449,a31,a34,8,9,b31,fp
450,a31,a35,0,4,b31,fp
451,a31,a35,1,5,b31,fp
452,a31,a35,2,6,b31,tp
453,a31,a35,3,7,b31,tp
454,a31,a35,4,-1,b31,fp
455,a31,a35,5,8,b31,tp
456,a31,a35,6,10,b31,tp
457,a31,a35,7,11,b31,tp
458,a31,a35,8,13,b31,fp
459,a32,a31,0,0,b31,tp
460,a32,a31,1,1,b31,tp
461,a32,a31,2,2,b31,tp
462,a32,a31,3,3,b31,tp
463,a32,a31,4,5,b31,fn
464,a32,a31,5,6,b31,tp
465,a32,a31,6,7,b31,tp
466,a32,a31,7,8,b31,tp
467,a32,a34,0,-1,b31,fp
468,a32,a34,1,2,b31,fp
469,a32,a34,2,3,b31,tp
470,a32,a34,3,4,b31,tp
471,a32,a34,4,5,b31,fp
472,a32,a34,5,7,b31,tp
473,a32,a34,6,8,b31,tp
474,a32,a34,7,9,b31,tp
475,a32,a35,0,4,b31,fp
476,a32,a35,1,5,b31,fp
477,a32,a35,2,6,b31,fp
478,a32,a35,3,7,b31,fp
479,a32,a35,4,8,b31,fp
480,a32,a35,5,10,b31,fn
481,a32,a35,6,11,b31,fn
482,a32,a35,7,13,b31,fp
483,a34,a31,0,-1,b31,fp
484,a34,a31,1,-1,b31,fp
485,a34,a31,2,1,b31,fp
486,a34,a31,3,2,b31,fp
