,aid_from,aid_to,step_from,step_to,function,craftdroid_evaluate
767,a45,a41,6,6,b42,fn
768,a45,a41,7,7,b42,fn
769,a45,a42,0,0,b42,tp
770,a45,a42,1,1,b42,fp
771,a45,a42,2,2,b42,fp
772,a45,a42,3,3,b42,fp
773,a45,a42,4,4,b42,fn
774,a45,a42,5,5,b42,fn
775,a45,a42,6,6,b42,fn
776,a45,a42,7,7,b42,fn
777,a45,a44,0,0,b42,tp
778,a45,a44,1,1,b42,tp
779,a45,a44,2,2,b42,tp
780,a45,a44,3,3,b42,tp
781,a45,a44,4,4,b42,tp
782,a45,a44,5,5,b42,tp
783,a45,a44,6,6,b42,tp
784,a45,a44,7,7,b42,tp
785,a51,a52,0,0,b51,tp
786,a51,a52,1,1,b51,tp
787,a51,a52,2,2,b51,tp
788,a51,a53,0,1,b51,tp
789,a51,a53,1,2,b51,tp
790,a51,a53,2,4,b51,tp
791,a51,a54,0,0,b51,tp
792,a51,a54,1,1,b51,tp
793,a51,a54,2,3,b51,tp
794,a51,a55,0,0,b51,tp
795,a51,a55,1,1,b51,tp
796,a51,a55,2,3,b51,tp
797,a52,a51,0,0,b51,tp
798,a52,a51,1,1,b51,tp
799,a52,a51,2,2,b51,tp
800,a52,a53,0,1,b51,tp
801,a52,a53,1,2,b51,tp
802,a52,a53,2,4,b51,tp
803,a52,a54,0,0,b51,tp
804,a52,a54,1,1,b51,tp
805,a52,a54,2,3,b51,tp
806,a52,a55,0,0,b51,tp
807,a52,a55,1,1,b51,tp
808,a52,a55,2,3,b51,tp
809,a53,a51,0,-1,b51,tn
810,a53,a51,1,0,b51,tp
811,a53,a51,2,1,b51,tp
812,a53,a51,3,-1,b51,tn
813,a53,a51,4,2,b51,tp
814,a53,a52,0,-1,b51,tn
815,a53,a52,1,0,b51,tp
816,a53,a52,2,1,b51,fp
817,a53,a52,3,-1,b51,tn
818,a53,a52,4,2,b51,tp
819,a53,a54,0,-1,b51,fp
820,a53,a54,1,0,b51,tp
821,a53,a54,2,1,b51,tp
822,a53,a54,3,2,b51,tp
823,a53,a54,4,3,b51,tp
824,a53,a55,0,-1,b51,fp
825,a53,a55,1,0,b51,tp
826,a53,a55,2,1,b51,tp
827,a53,a55,3,2,b51,tp
828,a53,a55,4,3,b51,tp
829,a54,a51,0,0,b51,tp
830,a54,a51,1,1,b51,fp
831,a54,a51,2,-1,b51,tn
832,a54,a51,3,2,b51,fn
833,a54,a52,0,0,b51,tp
834,a54,a52,1,1,b51,tp
835,a54,a52,2,-1,b51,tn
836,a54,a52,3,2,b51,tp
837,a54,a53,0,1,b51,tp
838,a54,a53,1,2,b51,fp
839,a54,a53,2,3,b51,tp
840,a54,a53,3,4,b51,tp
841,a54,a55,0,0,b51,tp
842,a54,a55,1,1,b51,tp
843,a54,a55,2,2,b51,tp
844,a54,a55,3,3,b51,tp
845,a55,a51,0,0,b51,tp
846,a55,a51,1,1,b51,tp
847,a55,a51,2,-1,b51,tn
848,a55,a51,3,2,b51,tp
849,a55,a52,0,0,b51,fp
850,a55,a52,1,1,b51,tp
851,a55,a52,2,-1,b51,fp
852,a55,a52,3,2,b51,fn
853,a55,a53,0,1,b51,fp
854,a55,a53,1,2,b51,tp
855,a55,a53,2,3,b51,tp
856,a55,a53,3,4,b51,fn
857,a55,a54,0,0,b51,fp
858,a55,a54,1,1,b51,tp
859,a55,a54,2,2,b51,tp
860,a55,a54,3,3,b51,fn
861,a51,a52,0,0,b52,tp
862,a51,a52,1,1,b52,tp
863,a51,a52,2,2,b52,fp
864,a51,a52,3,3,b52,fn
865,a51,a53,0,1,b52,tp
866,a51,a53,1,2,b52,tp
867,a51,a53,2,3,b52,tp
868,a51,a53,3,5,b52,tp
869,a51,a54,0,0,b52,tp
870,a51,a54,1,1,b52,tp
871,a51,a54,2,2,b52,tp
872,a51,a54,3,4,b52,tp
873,a51,a55,0,0,b52,tp
874,a51,a55,1,1,b52,tp
875,a51,a55,2,2,b52,tp
876,a51,a55,3,4,b52,tp
877,a52,a51,0,0,b52,tp
878,a52,a51,1,1,b52,tp
879,a52,a51,2,2,b52,fp
880,a52,a51,3,3,b52,fn
881,a52,a53,0,1,b52,tp
882,a52,a53,1,2,b52,tp
883,a52,a53,2,3,b52,tp
884,a52,a53,3,5,b52,tp
885,a52,a54,0,0,b52,tp
886,a52,a54,1,1,b52,tp
887,a52,a54,2,2,b52,tp
888,a52,a54,3,4,b52,tp
889,a52,a55,0,0,b52,tp
890,a52,a55,1,1,b52,tp
891,a52,a55,2,2,b52,tp
892,a52,a55,3,4,b52,tp
893,a53,a51,0,-1,b52,tn
894,a53,a51,1,0,b52,tp
895,a53,a51,2,1,b52,tp
896,a53,a51,3,2,b52,tp
897,a53,a51,4,-1,b52,tn
898,a53,a51,5,3,b52,tp
899,a53,a52,0,-1,b52,tn
900,a53,a52,1,0,b52,tp
901,a53,a52,2,1,b52,tp
902,a53,a52,3,2,b52,tp
903,a53,a52,4,-1,b52,tn
904,a53,a52,5,3,b52,tp
905,a53,a54,0,-1,b52,fp
906,a53,a54,1,0,b52,tp
907,a53,a54,2,1,b52,tp
908,a53,a54,3,2,b52,tp
909,a53,a54,4,3,b52,tp
910,a53,a54,5,4,b52,tp
911,a53,a55,0,-1,b52,fp
912,a53,a55,1,0,b52,fp
913,a53,a55,2,1,b52,tp
914,a53,a55,3,2,b52,fp
915,a53,a55,4,3,b52,tp
916,a53,a55,5,4,b52,fn
917,a54,a51,0,0,b52,tp
918,a54,a51,1,1,b52,fp
919,a54,a51,2,2,b52,tp
920,a54,a51,3,-1,b52,tn
921,a54,a51,4,3,b52,fn
922,a54,a52,0,0,b52,tp
923,a54,a52,1,1,b52,tp
924,a54,a52,2,2,b52,tp
925,a54,a52,3,-1,b52,tn
926,a54,a52,4,3,b52,tp
927,a54,a53,0,1,b52,fp
928,a54,a53,1,2,b52,tp
929,a54,a53,2,3,b52,fp
930,a54,a53,3,4,b52,tp
931,a54,a53,4,5,b52,fn
932,a54,a55,0,0,b52,tp
933,a54,a55,1,1,b52,tp
934,a54,a55,2,2,b52,tp
935,a54,a55,3,3,b52,tp
936,a54,a55,4,4,b52,tp
937,a55,a51,0,0,b52,tp
938,a55,a51,1,1,b52,tp
939,a55,a51,2,2,b52,tp
940,a55,a51,3,-1,b52,tn
941,a55,a51,4,3,b52,tp
942,a55,a52,0,0,b52,fp
943,a55,a52,1,1,b52,tp
944,a55,a52,2,2,b52,fp
945,a55,a52,3,-1,b52,fp
946,a55,a52,4,3,b52,fn
947,a55,a53,0,1,b52,fp
948,a55,a53,1,2,b52,tp
949,a55,a53,2,3,b52,fp
950,a55,a53,3,4,b52,tp
951,a55,a53,4,5,b52,fn
952,a55,a54,0,0,b52,tp
953,a55,a54,1,1,b52,tp
954,a55,a54,2,2,b52,tp
955,a55,a54,3,3,b52,tp
956,a55,a54,4,4,b52,tp
957,a32,a35,0,4,b32,fn
958,a32,a35,1,5,b32,fn
959,a32,a35,2,6,b32,fn
960,a32,a35,3,7,b32,fp
961,a32,a34,0,4,b32,fn
962,a32,a34,1,5,b32,fn
963,a32,a34,2,6,b32,fp
964,a32,a34,3,7,b32,fn
